service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
6080D,0,0,0,0,0,0,1,20250601,20250601                                                                                                                 
6081L,1,0,0,0,0,0,0,20250602,20250602                                                                                                                 
6082M,0,1,0,0,0,0,0,20250603,20250603                                                                                                                 
6083X,0,0,1,0,0,0,0,20250604,20250604                                                                                                                 
6084J,0,0,0,1,0,0,0,20250605,20250605                                                                                                                 
6085V,0,0,0,0,1,0,0,20250606,20250606                                                                                                                 
6086S,0,0,0,0,0,1,0,20250607,20250607                                                                                                                 
6087D,0,0,0,0,0,0,1,20250608,20250608                                                                                                                 
6088L,1,0,0,0,0,0,0,20250609,20250609                                                                                                                 
6089M,0,1,0,0,0,0,0,20250610,20250610                                                                                                                 
6090X,0,0,1,0,0,0,0,20250611,20250611                                                                                                                 
6091J,0,0,0,1,0,0,0,20250612,20250612                                                                                                                 
6092V,0,0,0,0,1,0,0,20250613,20250613                                                                                                                 
6162X,0,0,1,0,0,0,0,20250514,20250514                                                                                                                 
6163J,0,0,0,1,0,0,0,20250515,20250515                                                                                                                 
6164V,0,0,0,0,1,0,0,20250516,20250516                                                                                                                 
6165S,0,0,0,0,0,1,0,20250517,20250517                                                                                                                 
6166D,0,0,0,0,0,0,1,20250518,20250518                                                                                                                 
6167L,1,0,0,0,0,0,0,20250519,20250519                                                                                                                 
6168M,0,1,0,0,0,0,0,20250520,20250520                                                                                                                 
6169X,0,0,1,0,0,0,0,20250521,20250521                                                                                                                 
6170J,0,0,0,1,0,0,0,20250522,20250522                                                                                                                 
6171V,0,0,0,0,1,0,0,20250523,20250523                                                                                                                 
6172S,0,0,0,0,0,1,0,20250524,20250524                                                                                                                 
6173D,0,0,0,0,0,0,1,20250525,20250525                                                                                                                 
6174L,1,0,0,0,0,0,0,20250526,20250526                                                                                                                 
6175M,0,1,0,0,0,0,0,20250527,20250527                                                                                                                 
6176X,0,0,1,0,0,0,0,20250528,20250528                                                                                                                 
6177J,0,0,0,1,0,0,0,20250529,20250529                                                                                                                 
6178V,0,0,0,0,1,0,0,20250530,20250530                                                                                                                 
6179S,0,0,0,0,0,1,0,20250531,20250531                                                                                                                 
6180D,0,0,0,0,0,0,1,20250601,20250601                                                                                                                 
6181L,1,0,0,0,0,0,0,20250602,20250602                                                                                                                 
6182M,0,1,0,0,0,0,0,20250603,20250603                                                                                                                 
6183X,0,0,1,0,0,0,0,20250604,20250604                                                                                                                 
